Trade, Price, TimeStamp, PointValue, slippage, position
Sell, 57.7222, 2005-06-17 10:00, 42000, 19.5, 0
Buy , 57.78, 2005-06-17 10:05, 42000, 19.5, 1
Sell, 57.7822, 2005-06-17 10:15, 42000, 19.5, 0
Buy , 57.84, 2005-06-17 11:10, 42000, 19.5, 1
Sell, 57.8421, 2005-06-17 11:25, 42000, 19.5, 0
Buy , 57.9, 2005-06-17 12:25, 42000, 19.5, 1
Sell, 58.3316, 2005-06-17 12:45, 42000, 19.5, 0
Buy , 58.46, 2005-06-20 09:35, 42000, 19.5, 1
Sell, 58.981, 2005-06-20 09:40, 42000, 19.5, 0
Sell, 58.46, 2005-06-23 09:35, 42000, 19.5, -1
Buy , 58.3983, 2005-06-23 09:40, 42000, 19.5, 0
Buy , 58.97, 2005-06-24 09:45, 42000, 19.5, 1
Sell, 58.981, 2005-06-24 09:55, 42000, 19.5, 0
Buy , 59.04, 2005-06-24 11:45, 42000, 19.5, 1
Sell, 58.981, 2005-06-24 11:50, 42000, 19.5, 0
Buy , 59.04, 2005-06-24 12:05, 42000, 19.5, 1
Sell, 59.0409, 2005-06-24 12:10, 42000, 19.5, 0
Buy , 59.1, 2005-06-24 12:20, 42000, 19.5, 1
Sell, 59.2607, 2005-06-24 12:35, 42000, 19.5, 0
Sell, 58.34, 2005-06-27 10:50, 42000, 19.5, -1
Buy , 57.7477, 2005-06-27 11:00, 42000, 19.5, 0
Sell, 57.69, 2005-06-27 12:55, 42000, 19.5, -1
Buy , 57.5475, 2005-06-27 13:15, 42000, 19.5, 0
Sell, 57.49, 2005-06-28 10:25, 42000, 19.5, -1
Buy , 57.4474, 2005-06-28 10:30, 42000, 19.5, 0
Sell, 57.39, 2005-06-28 10:50, 42000, 19.5, -1
Buy , 57.1971, 2005-06-28 11:00, 42000, 19.5, 0
Sell, 57.09, 2005-06-28 11:05, 42000, 19.5, -1
Buy , 56.9969, 2005-06-28 11:15, 42000, 19.5, 0
Sell, 56.94, 2005-06-28 11:30, 42000, 19.5, -1
Buy , 56.9969, 2005-06-28 11:35, 42000, 19.5, 0
Sell, 56.94, 2005-06-28 12:15, 42000, 19.5, -1
Buy , 56.9469, 2005-06-28 12:20, 42000, 19.5, 0
Sell, 56.89, 2005-06-28 12:30, 42000, 19.5, -1
Buy , 56.8568, 2005-06-28 12:50, 42000, 19.5, 0
Sell, 56.8, 2005-06-30 11:40, 42000, 19.5, -1
Buy , 56.6466, 2005-06-30 11:45, 42000, 19.5, 0
Buy , 57.7, 2005-07-05 09:35, 42000, 19.5, 1
Sell, 57.8121, 2005-07-05 09:40, 42000, 19.5, 0
Buy , 57.87, 2005-07-05 10:00, 42000, 19.5, 1
Sell, 58.0519, 2005-07-05 10:10, 42000, 19.5, 0
Buy , 58.24, 2005-07-05 10:15, 42000, 19.5, 1
Sell, 58.3816, 2005-07-05 10:20, 42000, 19.5, 0
Buy , 58.44, 2005-07-05 12:10, 42000, 19.5, 1
Sell, 58.3816, 2005-07-05 12:15, 42000, 19.5, 0
Buy , 58.44, 2005-07-05 12:50, 42000, 19.5, 1
Sell, 58.4815, 2005-07-05 13:10, 42000, 19.5, 0
Buy , 58.54, 2005-07-06 09:35, 42000, 19.5, 1
Sell, 58.6613, 2005-07-06 09:45, 42000, 19.5, 0
Sell, 57.64, 2005-07-08 10:20, 42000, 19.5, -1
